Sat. Sep.  5, 2020             LANDSAT 7                 Time: 15:57
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L2            Path/Row: 168 / 018

L0R Reference Image: L71SG11114266080100_HDF.201742232
Acquisition Date: Sep 23, 2014

Band Number:  5

GLS date for each WRS-2 path/row used:
Path  Row   Date
166   018   07-03-2001, 05-17-2016
166   019   07-06-2002, 08-21-2016
167   019   10-09-1999, 05-08-2016
168   017   05-11-2000, 05-15-2016
168   018   05-11-2000, 05-15-2016
168   019   05-11-2000, 05-15-2016
169   017   05-05-2001, 05-30-2013
169   018   09-10-2001, 05-06-2016
170   017   09-17-2001, 05-11-2015


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1680170642_01   60.495320   57.682659   127.433       5.612     6.916     3.307     8.277
1680170645_01   60.843932   56.099845   163.735       0.284     2.325    -0.428     2.300
1680170646_01   60.684072   56.252601   178.016       2.486    -1.250     2.742    -0.452
1680170652_01   60.686528   56.421178   194.889       0.254     1.993    -0.352     1.976
1680170656_01   60.698448   56.688014   128.444      -3.867     2.845    -4.534     1.560
1680170657_01   60.624168   56.712869   150.053       3.412    -0.369     3.369     0.667
1680170658_01   60.780328   56.689428   131.542       1.120     4.964    -0.410     5.070
1680170665_01   60.784410   56.605095   184.697      -1.439    -0.987    -1.078    -1.370
1680170668_01   60.700996   56.295066   212.678      -4.837     4.080    -5.833     2.448
1680170676_01   60.671508   56.375870   202.100       2.797    -0.918     2.941    -0.042
1680170679_01   60.575954   57.288061   138.881       0.875    -0.218     0.911     0.056
1680170681_01   60.898264   56.262531   200.431      -1.259     0.846    -1.458     0.430
1680170684_01   60.399828   57.966483   160.647      -5.653     4.708    -6.773     2.809
1680170686_01   60.845946   56.161054   160.268       3.252    -1.533     3.553    -0.495
1680170690_01   60.478242   57.458540   119.592      -3.796     3.379    -4.613     2.094
1680170691_01   60.572682   57.771333   134.948      -6.403     1.507    -6.538    -0.468
1680170698_01   60.637981   56.547643   126.411      -6.829    -2.636    -5.726    -4.551
1680170707_01   60.562987   57.147320   131.724      -0.161     1.011    -0.445     0.919
1680170708_01   60.836165   56.393644   159.989      -4.932     1.355    -5.111    -0.179
1680170709_01   60.684522   56.530530   149.050      -1.060     2.158    -1.654     1.742
1680170715_01   60.739451   56.527517   136.180      -1.068     2.289    -1.701     1.865
1680170727_01   60.695393   56.773760   164.681       3.283    -0.835     3.384     0.184
1680170732_01   60.798862   56.796188   235.706       6.113    -4.569     7.196    -2.535
1680170734_01   60.797700   55.927505   128.145       1.887    -0.721     2.007    -0.128
1680170736_01   60.459626   58.038654   147.188      -6.098     6.746    -7.805     4.620
1680170740_01   60.831175   56.568108   136.394      -4.324    -0.332    -4.026    -1.606
1680170742_01   60.743540   55.926545   125.056      -3.502     4.184    -4.597     2.945
